AACS	FOCAD
ITFG2	CCDC181
LRCH2	CKAP4
FBXW4	SP110
SP110	GAB1
GAB1	SENP2
GAB1	HMGCL
ITFG1	SCAMP5
ARHGEF2	THBS3
ARHGEF2	GABPA
ARHGEF2	HDAC8
THBS3	E2F7
THBS3	MRI1
CCDC50	E2F7
CCDC50	LDB1
E2F7	CYTH2
E2F7	STK24
HDAC8	TGIF1
MRI1	ATG9A
MRI1	DECR1
ATG9A	SMG7
ATG9A	SPRED1
LDB1	GMNN
STK24	GLTSCR2
TGIF1	PSENEN
SMG7	ASCC1
DECR1	BTAF1
ARL2	PDLIM1
PDLIM1	DBNL
DBNL	KIAA0226
ARL2BP	CLN3
ARL2BP	MRPL24
CLN3	GNG11
CLN3	BLZF1
ARL4A	C14ORF102
C14ORF102	C17orf85
C14ORF102	DGAT1
C14ORF102	GPR89A
C17orf85	ORC5L
ORC5L	NFAT5
DGAT1	MKRN2
GPR89A	GPR89B
SCML1	MKRN2
SAP130	HEXA
SAP130	SMC1A
SIRT1	CEP63
CEP63	IFI27L1
CEP63	PHYHIPL
NUBPL	C12ORF10
ARL8A	RGPD3
ARL8A	CCDC125
RGPD3	C17ORF37
CCDC125	RAD1
GUSB	NSMCE4A
GUSB	DUSP11
GUSB	H2AFY2
C17ORF37	DAB2IP
C17ORF37	ETV3
BCL6	FEM1C
BCL6	TIMM17B
FANCM	RNH1
BCAP29	MAP3K7IP1
FIBP	SLC1A2
FIBP	DDX42
FIBP	MED22
KCNH7	KIF23
KIF23	ASPM
KIF23	RERE
SMYD4	TBCD
DLG5	KDM3A
KDM3A	TIMM10
CORO2B	BCAN
RFC5	GOPC
ASH1L	DIS3L
MT2A	ATP6V0D1
MT2A	CYB5A
ATP6V0D1	CASP2
SEMA5B	HSD17B12
RERE	CDK9
EXOSC4	ATP5B
EXOSC4	CAPN7
EXOSC4	SOX1
SUDS3	PFKL
SUDS3	TBCE
CHD3	PEPD
CWF19L1	LPAR2
ECHDC2	PLAUR
ECHDC2	KIAA0195
EXT2	MPP3
PFKL	RMI2
SLC1A2	DNAJC21
SAMD1	EPB41L3
ATG4B	NIN
ATG4B	ATP1B2
SPRED1	MAP2K2
ATIC	TIMM9
ATIC	RGL1
TIMM9	PDDC1
TIMM9	LYPLA1
PDDC1	PLRG1
PDDC1	GPC4
PDDC1	SEC23IP
ITSN1	EXOC2
